Rank|Country|GDP
0|World|"75,278,049"
1|United States|"19,362,129"
192|European Union|"17,112,922"
2|China|"11,937,562"
3|Japan|"4,884,489"
4|Germany|"3,651,871"
5|France|"2,574,807"
6|United Kingdom|"2,565,051"
7|India|"2,439,008"
8|Brazil|"2,080,916"
9|Italy|"1,921,139"
10|Canada|"1,640,385"
11|South Korea|"1,529,743"
12|Russia|"1,469,341"
13|Australia|"1,390,150"
14|Spain|"1,307,170"
15|Mexico|"1,142,453"
16|Indonesia|"1,010,937"
17|Turkey|"841,206"
18|Netherlands|"824,480"
19|Switzerland|"680,645"
20|Saudi Arabia|"678,541"
21|Argentina|"619,872"
22|Taiwan|"571,453"
23|Sweden|"541,889"
24|Poland|"509,955"
25|Belgium|"491,672"
26|Thailand|"437,807"
27|Iran|"427,666"
28|Austria|"409,316"
29|Egypt|"408,045/Na"
30|Nigeria|"394,818"
31|Norway|"392,052"
32|United Arab Emirates|"378,656"
33|Israel|"348,006"
34|South Africa|"344,064"
35|Hong Kong|"334,104"
36|Ireland|"325,649"
37|Denmark|"324,146"
38|Philippines|"321,189"
39|Malaysia|"309,858"
40|Colombia|"307,475"
41|Singapore|"305,757"
42|Pakistan|"304,400/Na"
43|Chile|"263,206"
44|Finland|"251,381"
45|Bangladesh|"250,023"
46|Vietnam|"215,963"
47|Venezuela|"215,307"
48|Portugal|"211,696"
49|Peru|"210,013"
50|Czech Republic|"209,652"
51|Romania|"204,943"
52|Greece|"204,299"
53|New Zealand|"200,837"
54|Iraq|"192,660"
55|Algeria|"175,493"
56|Qatar|"166,346"
57|Kazakhstan|"156,189"
58|Hungary|"132,034"
59|Angola|"124,034"
60|Sudan|"118,979"
61|Kuwait|"118,271"
62|Morocco|"110,708"
63|Ukraine|"104,062"
64|Puerto Rico|"103,243"
65|Ecuador|"98,576"
66|Slovakia|"94,997"
67|Sri Lanka|"83,567"
68|Ethiopia|"79,735"
69|Kenya|"78,397"
70|Syria|"77,460/Na"
71|Dominican Republic|"74,837"
72|Oman|"71,931"
73|Guatemala|"70,806"
74|Uzbekistan|"67,505"
75|Myanmar|"66,966"
76|Luxembourg|"63,517"
77|Uruguay|"60,266"
78|Panama|"59,051"
79|Costa Rica|"58,909"
80|Bulgaria|"55,954"
81|Croatia|"53,481"
82|Belarus|"52,783"
83|Lebanon|"52,698"
84|Tanzania|"51,614"
85|Macau|"51,160"
86|Slovenia|"48,078"
87|Lithuania|"46,666"
88|Ghana|"45,464"
89|Turkmenistan|"41,670"
90|Jordan|"40,487"
91|Democratic Republic of the Congo|"40,415"
92|Côte d'Ivoire|"39,906"
93|Tunisia|"39,883"
94|Serbia|"39,366"
95|Azerbaijan|"39,207"
96|Bolivia|"37,776"
97|Bahrain|"33,873"
98|Libya|"33,314"
99|Cameroon|"30,652"
100|Latvia|"30,176"
101|Paraguay|"28,780"
102|El Salvador|"27,407"
103|Uganda|"26,391"
104|Estonia|"25,683"
105|Yemen|"25,663"
106|Zambia|"25,576"
107|Iceland|"24,848"
108|Nepal|"24,065"
109|Honduras|"22,675"
110|Cambodia|"22,252"
111|Papua New Guinea|"21,811"
112|Cyprus|"21,109"
113|Afghanistan|"21,056"
114|Trinidad and Tobago|"20,300"
115|Bosnia and Herzegovina|"17,457"
116|Laos|"17,152"
117|Zimbabwe|"17,105"
118|Botswana|"16,725"
119|Senegal|"16,057"
120|Georgia|"15,230"
121|Mali|"14,998"
122|Gabon|"14,467"
123|Jamaica|"14,290"
124|Nicaragua|"13,692"
125|Burkina Faso|"13,187"
126|Albania|"13,001"
127|Namibia|"12,558"
128|Mozambique|"12,345"
129|Mauritius|"12,273"
130|Malta|"12,011"
131|Brunei|"11,963"
132|Macedonia|"11,416"
133|Armenia|"11,037"
134|Mongolia|"10,869"
135|Madagascar|"10,557"
136|Equatorial Guinea|"10,069"
137|Chad|"9,740"
138|Benin|"9,410"
139|Guinea|"9,183"
140|Bahamas|"9,127"
141|Rwanda|"8,918"
142|Haiti|"8,360"
143|Moldova|"7,945"
144|Niger|"7,892"
145|Republic of Congo|"7,799"
146|Kosovo|"7,536"
147|Tajikistan|"7,234"
148|Kyrgyzstan|"7,061"
149|Malawi|"6,261"
150|Eritrea|"6,050"
151|Fiji|"5,054"
152|Mauritania|"4,985"
153|Barbados|"4,821"
154|Togo|"4,797"
155|Maldives|"4,520"
156|Montenegro|"4,405"
157|Swaziland|"4,030"
158|Sierra Leone|"3,897"
159|Suriname|"3,665"
160|Guyana|"3,591"
161|Burundi|"3,393"
162|South Sudan|"2,915"
163|Lesotho|"2,721"
164|Timor-Leste|"2,716"
165|Bhutan|"2,321"
166|Liberia|"2,140"
167|Djibouti|"2,082"
168|Central African Republic|"1,992"
169|Belize|"1,819"
170|Cape Verde|"1,728"
171|St. Lucia|"1,717"
172|San Marino|"1,592"
173|Antigua and Barbuda|"1,535"
174|Seychelles|"1,479"
175|Guinea-Bissau|"1,295"
176|Solomon Islands|"1,273"
177|Grenada|"1,111"
178|The Gambia|"1,038"
179|St. Kitts and Nevis|939
180|Samoa|844
181|Vanuatu|837
182|St. Vincent and the Grenadines|815
183|Comoros|659
184|Dominica|608
185|Tonga|437
186|São Tomé and Príncipe|372
187|Federated States of Micronesia|329
188|Palau|321
189|Marshall Islands|199
190|Kiribati|186
191|Tuvalu|40
