AMO|NAO|NIN
1856.0|0.1933|NaN
1857.0|-0.02533|NaN
1858.0|0.001833|NaN
1859.0|0.0125|NaN
1860.0|0.07917|NaN
1861.0|0.1763|NaN
1862.0|-0.2029|NaN
1863.0|-0.1197|NaN
1864.0|0.05725|-1.02
1865.0|0.1633|-1.24
1866.0|0.1983|0.54
1867.0|0.1372|-1.38
1868.0|0.1496|2.81
1869.0|0.09083|1.7
1870.0|0.014|-3.01
1871.0|0.02725|-1.01
1872.0|0.09|-0.76
1873.0|0.04442|-0.5
1874.0|-0.02458|2.32
1875.0|0.03142|-1.35
1876.0|-0.0255|0.21
1877.0|0.2381|0.05
1878.0|0.4493|1.46
1879.0|0.122|-2.22
1880.0|0.05933|0.89
1881.0|0.03933|-3.8
1882.0|-0.02917|3.87
1883.0|-0.03567|-0.23
1884.0|-0.07917|1.44
1885.0|-0.02775|-0.89
1886.0|0.1198|-1.12
1887.0|0.1183|0.45
1888.0|0.1919|-2.75
1889.0|0.1948|-0.01
1890.0|-0.1477|1.78
1891.0|0.03167|-0.82
1892.0|-0.09467|-2.02
1893.0|-0.008333|-1.07
1894.0|-0.2464|2.68
1895.0|-0.09708|-3.97
1896.0|0.1042|1.12
1897.0|0.1074|1.09
1898.0|0.072|1.02
1899.0|0.1254|0.03
1900.0|0.09517|-2.13
1901.0|0.08658|-0.33
1902.0|-0.1033|-1.41
1903.0|-0.1942|3.89
1904.0|-0.3488|0.23
1905.0|-0.2035|1.98
1906.0|-0.07383|2.06
1907.0|-0.2273|2.06
1908.0|-0.1303|1.44
1909.0|-0.137|0
1910.0|-0.2472|2.1
1911.0|-0.213|0.29
1912.0|-0.2271|0.24
1913.0|-0.3868|2.69
1914.0|-0.2886|1.48
1915.0|0.09508|-0.2
1916.0|-0.07442|-0.69
1917.0|-0.2774|-3.8
1918.0|-0.2584|-0.8
1919.0|-0.184|-0.8
1920.0|-0.3327|3.18
1921.0|-0.2177|1.63
1922.0|-0.3174|1.85
1923.0|-0.3212|1.73
1924.0|-0.1493|-1.13
1925.0|-0.1562|2.39
1926.0|0.08933|0.11
1927.0|0.1138|1.72
1928.0|-0.0015|0.63
1929.0|-0.1071|-1.03
1930.0|0.01558|0.91
1931.0|0.1835|-0.16
1932.0|0.2334|-0.5
1933.0|0.1982|0.25
1934.0|-0.00225|0.86
1935.0|0.02325|0.97
1936.0|0.1557|-3.89
1937.0|0.299|0.72
1938.0|0.2467|1.79
1939.0|0.1146|0.37
1940.0|-0.02408|-2.86
1941.0|0.1795|-2.31
1942.0|0.1888|-0.55
1943.0|0.03867|1.48
1944.0|0.3544|0.61
1945.0|0.2252|1.64
1946.0|0.02417|0.27
1947.0|-0.08008|-2.71
1948.0|0.01742|1.34
1949.0|0.09658|1.87
1950.0|-0.00375|1.4
1951.0|0.2078|-1.26
1952.0|0.2996|0.83
1953.0|0.269|0.18
1954.0|0.04783|0.13
1955.0|0.1973|-2.52
1956.0|-0.01442|-1.73
1957.0|0.04525|1.52
1958.0|0.2191|-1.02
1959.0|0.058|-0.37
1960.0|0.2405|-1.54
1961.0|0.105|1.8
1962.0|0.0775|-2.38
1963.0|0.009917|-3.6
1964.0|-0.09|-2.86
1965.0|-0.1541|-2.88
1966.0|0.009833|-1.69
1967.0|-0.09225|1.28
1968.0|-0.1614|-1.04
1969.0|0.01525|-4.89
1970.0|-0.09742|-1.89
1971.0|-0.3065|-0.96
1972.0|-0.3483|0.34
1973.0|-0.2106|2.52
1974.0|-0.4156|1.23
1975.0|-0.2936|1.63
1976.0|-0.3587|1.37
1977.0|-0.1842|-2.14
1978.0|-0.1745|0.17
1979.0|-0.1049|-2.25
1980.0|-0.01258|0.56
1981.0|-0.07075|2.05
1982.0|-0.2065|0.8
1983.0|-0.06492|3.42
1984.0|-0.2011|1.6
1985.0|-0.2592|-0.63
1986.0|-0.265|0.5
1987.0|0.07142|-0.75
1988.0|0.005|0.72
1989.0|-0.07283|5.08
1990.0|-0.0255|3.96
1991.0|-0.1217|1.03
1992.0|-0.2107|3.28
1993.0|-0.2008|2.67
1994.0|-0.1603|3.03
1995.0|0.148|3.96
1996.0|-0.04667|-3.78
1997.0|0.06442|-0.17
1998.0|0.3887|0.72
1999.0|0.1398|1.7
2000.0|0.04658|2.8
2001.0|0.1412|-1.9
2002.0|0.08608|0.76
2003.0|0.2519|0.2
2004.0|0.2257|-0.07
2005.0|0.3117|0.12
2006.0|0.2869|-1.09
2007.0|0.1689|2.79
2008.0|0.1602|2.1
2009.0|NaN|-0.41
2010.0|NaN|-4.64
2011.0|NaN|-1.57
2012.0|NaN|NaN
